web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1549952118-132","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","ravi","Battery","18 July 2018","Battery time","5.0 out of 5 stars","Next page→","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1549952109-125","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Kumar snehal","Could be better!!!!","26 July 2018","Product overall good but could be better battery sucks if you game it won't last even half an hour on full charge ......also it sometimes faces lag due to the pre-installed window ten on it.......the plastic build is quite pathetic the build does not even give the feel of a gaming laptop::::::only worth for money if you get it under sale otherwise useless for the given price point...........it only provide raw performance ,,but for daily use it is useless!!!!just can be used for gaming and that's all with plugged in charger(((the fans are quite loud)))","2.0 out of 5 stars","Next page→","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1549952085-95","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Satyam Pati","Pretty good entry level gaming machine","29 December 2018","For the price I got it for, it's a good gaming machine. This machine is a pretty decent entry level gaming rig and will play most titles. Utility beyond gaming is limited. Battery life depends on the kind of game you play. Demanding games will drain the battery in less than an hour but RTS and strategy titles like stellaris will give slightly longer battery time. Overall I am satisfied as i didn't pay six figures for a gaming rig.","5.0 out of 5 stars","",""
"1549952090-98","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Anil","Not bad","16 August 2018","Except from poor plastic body and poor battery life, everything else is nice","4.0 out of 5 stars","Next page→","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1549952118-136","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","","","","","","null","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1549952118-130","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","AFRIDI","good","27 November 2018","good nyc battery life nyc vary vary nyc battery life  value for money good wall looking nyc good well ok","5.0 out of 5 stars","Next page→","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1549952118-131","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","udaykiran","Superb product","30 January 2019","Value for money excellence delivery got it in 1 day at 70000  what a performance and battery life by bult quality ok","5.0 out of 5 stars","Next page→","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1549952118-135","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Hello","Five Stars","23 July 2018","Got it in 57k (69k - 7k(exchange) -5k cashback)","5.0 out of 5 stars","Next page→","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1549952109-120","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","dev ram","None","5 February 2019","None","5.0 out of 5 stars","Next page→","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1549952090-99","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Uchuak","Very Good (but)","30 November 2018","Its a very good laptop for gaming in this price range. But the back of the laptop in real differs from what it was shown in the picture in the Amazon site.","4.0 out of 5 stars","Next page→","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1549952090-104","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Mohit rana","Buy at 70 k discount","17 October 2018","Processor i7 8750H
Battery life for normal studying is good
For gaming you have to use charger","5.0 out of 5 stars","Next page→","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1549952118-134","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","VIKRANT BAIS","Five Stars","9 July 2018","This is the beast. very powerful laptop","5.0 out of 5 stars","Next page→","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1549952090-103","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Ahmed raza zaidi","My acer nitro review","13 December 2018","For gaming this is a beast.
And i got it for 73K so i think its amazing. I love it. No lag. No nothing. I think this is a great laptop.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1549952099-107","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Shiva kumar Penugonda","i am giving only one star because the seal the is broken after opening the laptop","21 January 2019","the package after opening the seal with label check content sticker is tored","1.0 out of 5 stars","Next page→","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1549952109-123","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Shahbaz K.","Good if you get it for under 80K","17 July 2018","I got it for 77K under deal of the day, and for that price, it is the absolute best. Heating is a slight issue because of the weird internal design of the laptop, but nothing too significant. I'd suggest you buy a cooling pad to ensure extra airflow if you plan on 3-4+ hours of heavy GPU+CPU intensive tasks like gaming. However, if you're getting it for 90K+, go for the Asus GL503 for 97K.

On another note, if you want to manage heat, download Intel XTU and undervolt the CPU. IT DOES NOT VOID YOUR WARRANTY. I currently have it undervolted by -140mV and get a Cinebench R15 score of 1250 at best and 1100 on average.","4.0 out of 5 stars","Next page→","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1549952099-109","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Saroj Pandey","Good laptop for 69k","26 July 2018","Battery life could be better.","4.0 out of 5 stars","Next page→","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1549952109-124","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Good performance system,","13 July 2018","Full paisa wasool. I got under disscount.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1549952109-117","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Palmei chingkhu","Good","8 November 2018","Need to improve","4.0 out of 5 stars","Next page→","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1549952118-127","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Total beast for the price range","20 July 2018","Awesome laptop . Colour contrast is great . Total beast . Can play games like assassins creed unity at ultra high very smoothly for long hours. Pubg runs real smooth. I bought it on amazon prime sale for 69k","5.0 out of 5 stars","Next page→","https://www.amazon.in/Acer-15-6-inch-Windows-Graphics-AN515-52/product-reviews/B07DDM9DDJ/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
