web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1549951888-82","https://www.amazon.in/Cello-Signature-Carbon-Ball-Pen/product-reviews/B07GQQCC9G/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Good pen,  smooth writing & smart looks","23 December 2018","Pen is very smart looking & smooth writing,  I m in sales,  so travel daily,  use 3-4 pens,  after 2 months of moderate use the pen has started to loose its black color which I dont like","4.0 out of 5 stars","Next page→","https://www.amazon.in/Cello-Signature-Carbon-Ball-Pen/product-reviews/B07GQQCC9G/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews"
"1549951862-17","https://www.amazon.in/Cello-Signature-Carbon-Ball-Pen/product-reviews/B07GQQCC9G/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","PIYUSH MISHRA","Best product with best offer","26 December 2018","Amazing product wonderful grip","5.0 out of 5 stars","Next page→","https://www.amazon.in/Cello-Signature-Carbon-Ball-Pen/product-reviews/B07GQQCC9G/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1549951874-41","https://www.amazon.in/Cello-Signature-Carbon-Ball-Pen/product-reviews/B07GQQCC9G/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Ashish Sethia","Black Beauty","16 January 2019","Good pen..
Wonderful writing","5.0 out of 5 stars","Next page→","https://www.amazon.in/Cello-Signature-Carbon-Ball-Pen/product-reviews/B07GQQCC9G/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1549951866-24","https://www.amazon.in/Cello-Signature-Carbon-Ball-Pen/product-reviews/B07GQQCC9G/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Worth buying","9 February 2019","Very nice pens , and feel premium too at the cost .","5.0 out of 5 stars","Next page→","https://www.amazon.in/Cello-Signature-Carbon-Ball-Pen/product-reviews/B07GQQCC9G/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1549951866-23","https://www.amazon.in/Cello-Signature-Carbon-Ball-Pen/product-reviews/B07GQQCC9G/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","KUMARAVEL.S","Nice and sturdy quality pen","25 January 2019","Very good quality pen at this price range.","4.0 out of 5 stars","Next page→","https://www.amazon.in/Cello-Signature-Carbon-Ball-Pen/product-reviews/B07GQQCC9G/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1549951866-28","https://www.amazon.in/Cello-Signature-Carbon-Ball-Pen/product-reviews/B07GQQCC9G/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Pakala rajesh","Worth .","26 January 2019","Iam using it.value for money","5.0 out of 5 stars","Next page→","https://www.amazon.in/Cello-Signature-Carbon-Ball-Pen/product-reviews/B07GQQCC9G/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1549951874-45","https://www.amazon.in/Cello-Signature-Carbon-Ball-Pen/product-reviews/B07GQQCC9G/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","arish","Pure value for money","15 January 2019","In love with the metal body n color contrast","5.0 out of 5 stars","Next page→","https://www.amazon.in/Cello-Signature-Carbon-Ball-Pen/product-reviews/B07GQQCC9G/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1549951881-67","https://www.amazon.in/Cello-Signature-Carbon-Ball-Pen/product-reviews/B07GQQCC9G/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Siddharth verma","Very bad","31 January 2019","Paint of the pen is very bad","1.0 out of 5 stars","Next page→","https://www.amazon.in/Cello-Signature-Carbon-Ball-Pen/product-reviews/B07GQQCC9G/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews"
"1549951862-13","https://www.amazon.in/Cello-Signature-Carbon-Ball-Pen/product-reviews/B07GQQCC9G/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Rajarshi Palit","As smooth as butter and beautiful as black gold.","22 January 2019","Every one should must buy  this pen it is very smooth and gives a perfect writing experience and as well as packed with style.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Cello-Signature-Carbon-Ball-Pen/product-reviews/B07GQQCC9G/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1549951866-30","https://www.amazon.in/Cello-Signature-Carbon-Ball-Pen/product-reviews/B07GQQCC9G/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","DATTATREYA V PANT","Nice to have","15 January 2019","Totally Satisfied","5.0 out of 5 stars","Next page→","https://www.amazon.in/Cello-Signature-Carbon-Ball-Pen/product-reviews/B07GQQCC9G/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
