web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1549990655-81","https://www.amazon.in/Stick-all-new-Remote-Streaming-Player/product-reviews/B0791YHVMK/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Abdul Kadir","Worst product ever. Disappointed with Amazon.","5 February 2019","Please don't buy this product. Alexa voice search is not up to the mark. Searching through Voice command is not possible. 0 stars.","1.0 out of 5 stars","Next page→","https://www.amazon.in/Stick-all-new-Remote-Streaming-Player/product-reviews/B0791YHVMK/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews"
"1549990659-98","https://www.amazon.in/Stick-all-new-Remote-Streaming-Player/product-reviews/B0791YHVMK/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","s.nagendra reddy","Nice product","9 February 2019","Nice product","5.0 out of 5 stars","Next page→","https://www.amazon.in/Stick-all-new-Remote-Streaming-Player/product-reviews/B0791YHVMK/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews"
"1549990635-13","https://www.amazon.in/Stick-all-new-Remote-Streaming-Player/product-reviews/B0791YHVMK/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Volume control not working with Onida TV","29 January 2019","Volume control is not working, and also I am not also finding enough help. Also don't know how to contact support for fire stick.

Can someone please help me to this remote working with Onida TV.

Also after my comment for this product I got call from amazon support center, after even spending 45 min of time changing different settings it did not help.

I do want this product but with volume control and that the reason I have spend 1000 RS extra. If you can't make this remote working with my TV please return me 1000 or else get this remote working with my TV","1.0 out of 5 stars","Next page→","https://www.amazon.in/Stick-all-new-Remote-Streaming-Player/product-reviews/B0791YHVMK/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1549990635-14","https://www.amazon.in/Stick-all-new-Remote-Streaming-Player/product-reviews/B0791YHVMK/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Swaroop Ganguly","Awesome product and read my description below","30 January 2019","I would like to say this device is absolutely perfect to make your TV experience in a top of everything. It's easy and very nice to stream. Do watch my Youtube video channel name ""100face vlogs"" on Unboxing of this device and also the installation video so that it will help you alot before buying this product","5.0 out of 5 stars","Next page→","https://www.amazon.in/Stick-all-new-Remote-Streaming-Player/product-reviews/B0791YHVMK/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1549990647-59","https://www.amazon.in/Stick-all-new-Remote-Streaming-Player/product-reviews/B0791YHVMK/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Sanneev r.","Awsome product.","30 January 2019","This device is perfect device comparison to other device. It's really work better than others device. One device so many functions.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Stick-all-new-Remote-Streaming-Player/product-reviews/B0791YHVMK/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1549990644-48","https://www.amazon.in/Stick-all-new-Remote-Streaming-Player/product-reviews/B0791YHVMK/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","All new Amazon fire stick with Alexa voice and volume control","9 February 2019","An improved fire stick of the first version.
Great to use !","5.0 out of 5 stars","Next page→","https://www.amazon.in/Stick-all-new-Remote-Streaming-Player/product-reviews/B0791YHVMK/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1549990632-3","https://www.amazon.in/Stick-all-new-Remote-Streaming-Player/product-reviews/B0791YHVMK/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Yogesh","Volume Buttons are not working for VU TV","30 January 2019","I've ordered this Fire Stick so i get volume control on same remote with alexa support.
But volume keys are not working. Can you please provide me with solution? Should i return it?","2.0 out of 5 stars","",""
"1549990638-30","https://www.amazon.in/Stick-all-new-Remote-Streaming-Player/product-reviews/B0791YHVMK/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Fire TV newb","1 February 2019","I am using this all new fire TV stick since 1 week.  I am quite happy about this product and vedio & audio quality just amazing.(Using Sony home theater system).
One thing that i am not happy which is Alexa not up to the expectation.","4.0 out of 5 stars","Next page→","https://www.amazon.in/Stick-all-new-Remote-Streaming-Player/product-reviews/B0791YHVMK/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1549990655-83","https://www.amazon.in/Stick-all-new-Remote-Streaming-Player/product-reviews/B0791YHVMK/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Abhishek","Just go for it to make your normal TV to Smart","29 January 2019","Working fine in my LG and Videocon TV's
No major issues till now
Excellent product at this price range just go go it.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Stick-all-new-Remote-Streaming-Player/product-reviews/B0791YHVMK/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews"
"1549990641-31","https://www.amazon.in/Stick-all-new-Remote-Streaming-Player/product-reviews/B0791YHVMK/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Dr R.","No power button on my stick","3 February 2019","Everything good but there is no power button in my stick. That worry me a lot. I can't switch off stick","4.0 out of 5 stars","Next page→","https://www.amazon.in/Stick-all-new-Remote-Streaming-Player/product-reviews/B0791YHVMK/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
