web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
1549820484-100,https://www.amazon.in/Apple-iPhone-Storage-Camera-Display/product-reviews/B072LNNSQN/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews,Sumana Datta mr,Regarding the cash back,02-Jan-19,"I have bought this mobile on oct 2018 I wanted to that is there any cash back for this product after purchasing ??!
Actually some one told me that there will be cash back of rs 5k in jan 2019 so by this I wanted to confirm that is there any cash back or not
Thank you",5.0 out of 5 stars,Next page→,https://www.amazon.in/Apple-iPhone-Storage-Camera-Display/product-reviews/B072LNNSQN/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews
1549820587-197,https://www.amazon.in/Apple-iPhone-Storage-Camera-Display/product-reviews/B072LNNSQN/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Good phone,03-Jan-19,Got a good one and I hope this one stays longer like how I had my iPhone 6.,5.0 out of 5 stars,Next page→,https://www.amazon.in/Apple-iPhone-Storage-Camera-Display/product-reviews/B072LNNSQN/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews
1549820438-46,https://www.amazon.in/Apple-iPhone-Storage-Camera-Display/product-reviews/B072LNNSQN/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews,Amazon Customer,IPhone X - Defected piece received,18-Jan-19,"Got a defected piece , camera and face id was not working,  phone is sent to bangalore service centre now , will receive it after 4-5 days.  Not a happy experience till now.",2.0 out of 5 stars,Next page→,https://www.amazon.in/Apple-iPhone-Storage-Camera-Display/product-reviews/B072LNNSQN/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews
1549820484-96,https://www.amazon.in/Apple-iPhone-Storage-Camera-Display/product-reviews/B072LNNSQN/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews,Sidney Kiran,Great phone,22-Nov-18,"Good a good deal and grabbed it. Great camera, awesome screen and smooth UI.",5.0 out of 5 stars,Next page→,https://www.amazon.in/Apple-iPhone-Storage-Camera-Display/product-reviews/B072LNNSQN/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews
1549820522-133,https://www.amazon.in/Apple-iPhone-Storage-Camera-Display/product-reviews/B072LNNSQN/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Just WOW,08-Nov-18,The best phone you can get. Just mindblowing. Screen quality is awsesome. iOS is easy to use. Battery could have been improved.,5.0 out of 5 stars,Next page→,https://www.amazon.in/Apple-iPhone-Storage-Camera-Display/product-reviews/B072LNNSQN/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews
1549820484-91,https://www.amazon.in/Apple-iPhone-Storage-Camera-Display/product-reviews/B072LNNSQN/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Amazon Great Indian sale Great iPhone x,11-Oct-18,"There is no word to say about Iphone X everyone can find the best reviews about this phone in Internet .
I was more hesitate to buy from Amazon .Offline market seller was selling for Rs -91000 .They always say buying from online will not be eligible for warranty ,fake iphone ,fake iphone chargers don't believe all these words .
I got iphone x for Rs - 69900 from Amazon on great Indian sale got some more discounts exchanging old phone .Received the product with in 24 Hours .It is genuine Apple product .Before opening the box if you type the serial number of Iphone in apple site .We can see the message ""Please activate your iphone ""
once i power on the device and configured apple id .you can see the Phone activation and the warranty period date exactly one year .I have even checked with Apple customer care to confirm the authenticity of this Iphone x purchased from Amazon .They confirmed this phone is 100% genuine .Thanks to the seller Appario retail private ltd sending genuine iphone product",5.0 out of 5 stars,Next page→,https://www.amazon.in/Apple-iPhone-Storage-Camera-Display/product-reviews/B072LNNSQN/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews
1549820465-79,https://www.amazon.in/Apple-iPhone-Storage-Camera-Display/product-reviews/B072LNNSQN/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews,Sammi,Defected phone don’t buy it here,28-Jan-19,"It’s a defected phone, seller is very smart as it’s a online shopping you will get to know this defect after unsing this phone for a month.
 The screen of the phone is defected at its lower part.
I got to know it once I have putted tempered glass on it, there is a bubble in screen every time. I have changed 10-12 screen guard and the problem remains same.",1.0 out of 5 stars,Next page→,https://www.amazon.in/Apple-iPhone-Storage-Camera-Display/product-reviews/B072LNNSQN/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews
1549820455-67,https://www.amazon.in/Apple-iPhone-Storage-Camera-Display/product-reviews/B072LNNSQN/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews,S. G.,Genuine,29-Nov-18,"Cons
Call recording option is absent,hangs at times
 Sharing provisions are less.
Pros
Camera is awesome

Overall purchase is good.This is my personal experience after usage of a month.",5.0 out of 5 stars,Next page→,https://www.amazon.in/Apple-iPhone-Storage-Camera-Display/product-reviews/B072LNNSQN/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews
1549820666-260,https://www.amazon.in/Apple-iPhone-Storage-Camera-Display/product-reviews/B072LNNSQN/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Lovely..Got it in sale,17-Oct-18,Lovely..Got it in sale,5.0 out of 5 stars,Next page→,https://www.amazon.in/Apple-iPhone-Storage-Camera-Display/product-reviews/B072LNNSQN/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&pageNumber=26&reviewerType=all_reviews
1549820587-194,https://www.amazon.in/Apple-iPhone-Storage-Camera-Display/product-reviews/B072LNNSQN/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews,Naresh Chatla,Best phone,07-Dec-18,Overall product is good,5.0 out of 5 stars,Next page→,https://www.amazon.in/Apple-iPhone-Storage-Camera-Display/product-reviews/B072LNNSQN/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews
