web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1549687683-412","https://www.amazon.com/product-reviews/B00DR0BOSC/ref=cm_cr_dp_d_cmps_btm?ie=UTF8&reviewerType=all_reviews","Kindle Customer","Amazon Kindle Fire HD Standing Leather Origami Case","January 2, 2014","This was purchased as a gift - it looked nice and was reasonably priced.  The reason I bought this is because it is for a teen ager who spends the nights with friends and I thought it would be nice to have to protect the kindle.  Cannot say if she likes it since she lives away from us.  But we did purchase a similar item in the past and was very satisfied.  I do plan to purchase two more for the other two kindle.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Amazon-Kindle-Standing-Leather-Origami/product-reviews/B00DR0BOSC/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1549687704-477","https://www.amazon.com/product-reviews/B00DR0BOSC/ref=cm_cr_dp_d_cmps_btm?ie=UTF8&reviewerType=all_reviews","Jane Gossett","Versatile and durable case","December 6, 2013","Kindle Fire HD (7"") snaps in for a perfect fit.  Able to easily use the on/off button and volume buttons while in the case.  Also, the audio is not muffled while encased (sounds great!).  Appreciate being able to stand in portrait or landscape position.  A really great feature is that when the flap is closed it automatically puts the Kindle to sleep, and when opened the Kindle awakes; love it!  I have set up the Kindle so I can listen to Pandora (sometimes with noise cancelling earplugs), read a book or the news, and enjoy a cup of coffee.  A very handy and durable case.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Amazon-Kindle-Standing-Leather-Origami/product-reviews/B00DR0BOSC/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews"
"1549687821-788","https://www.amazon.com/product-reviews/B00DR0BOSC/ref=cm_cr_dp_d_cmps_btm?ie=UTF8&reviewerType=all_reviews","Al","Five Stars","January 1, 2015","Perfect for my Kindle","5.0 out of 5 stars","Next page→","https://www.amazon.com/Amazon-Kindle-Standing-Leather-Origami/product-reviews/B00DR0BOSC/ref=cm_cr_arp_d_paging_btm_42?ie=UTF8&pageNumber=42&reviewerType=all_reviews"
"1549687758-629","https://www.amazon.com/product-reviews/B00DR0BOSC/ref=cm_cr_dp_d_cmps_btm?ie=UTF8&reviewerType=all_reviews","Kerkers","Grady cover, highly recommend","January 10, 2014","I love the cover! You can stand it up in all directions and because it is magnetic, you can stick your stylus to it.  Which means it won't get lost.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Amazon-Kindle-Standing-Leather-Origami/product-reviews/B00DR0BOSC/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&pageNumber=26&reviewerType=all_reviews"
"1549687825-798","https://www.amazon.com/product-reviews/B00DR0BOSC/ref=cm_cr_dp_d_cmps_btm?ie=UTF8&reviewerType=all_reviews","Bill G","Constantly turns off the Kindle - Poor design for the power button","June 14, 2014","Father's Day gift had to break out the power button. Kept turning off the device. Otherwise the case is fine .","1.0 out of 5 stars","Next page→","https://www.amazon.com/Amazon-Kindle-Standing-Leather-Origami/product-reviews/B00DR0BOSC/ref=cm_cr_arp_d_paging_btm_43?ie=UTF8&pageNumber=43&reviewerType=all_reviews"
"1549687708-482","https://www.amazon.com/product-reviews/B00DR0BOSC/ref=cm_cr_dp_d_cmps_btm?ie=UTF8&reviewerType=all_reviews","Renee","love it!","May 4, 2014","was realy pleased with this...sure makes it easy to handle now....Only thing I didnt care for was the price...Blew my mind!!!!!....like they always say tho,,,,,,you get what you pay for....so to me in this case....was money well spent! love the red color!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Amazon-Kindle-Standing-Leather-Origami/product-reviews/B00DR0BOSC/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews"
"1549687704-479","https://www.amazon.com/product-reviews/B00DR0BOSC/ref=cm_cr_dp_d_cmps_btm?ie=UTF8&reviewerType=all_reviews","Arlene Tessaro","I ended up returning this case because it was very ...","August 15, 2014","I ended up returning this case because it was very hard to turn on or off while unit is in the case the case covers the unit's on and off button and volume buttons with those buttons on the case which by pressing its supposed to activate the real buttons underneath. It doesn't and it was very expensive. I got instead one for $8.99 that has spaces where I can access the actual buttons and has a spot for a stylus","1.0 out of 5 stars","Next page→","https://www.amazon.com/Amazon-Kindle-Standing-Leather-Origami/product-reviews/B00DR0BOSC/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews"
"1549687745-589","https://www.amazon.com/product-reviews/B00DR0BOSC/ref=cm_cr_dp_d_cmps_btm?ie=UTF8&reviewerType=all_reviews","Cheryl L Dahlberg","Origami Case","May 17, 2017","This case doesn't fit my Fire HD  It is about 1/4"" too long, the power button does't match up, it won't charge while in the case. I searched specifically for the Kindle Fire HDX (3rd gen). So disappointed!","1.0 out of 5 stars","Next page→","https://www.amazon.com/Amazon-Kindle-Standing-Leather-Origami/product-reviews/B00DR0BOSC/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews"
"1549687738-564","https://www.amazon.com/product-reviews/B00DR0BOSC/ref=cm_cr_dp_d_cmps_btm?ie=UTF8&reviewerType=all_reviews","Kindle Customer","A perfect fit and well made","August 23, 2015","A perfect fit and well made. Love the built in stand and the way it turns on and off when you open and close the cover","5.0 out of 5 stars","Next page→","https://www.amazon.com/Amazon-Kindle-Standing-Leather-Origami/product-reviews/B00DR0BOSC/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews"
"1549687691-431","https://www.amazon.com/product-reviews/B00DR0BOSC/ref=cm_cr_dp_d_cmps_btm?ie=UTF8&reviewerType=all_reviews","Andrea","Kindle Doesn't Work With the Case on","September 8, 2014","I loved the design of this case and it worked for a couple of months. One day I was unable to turn my Kindle on and looked up on the internet to see what the problem could be.  I was still unable to get the Kindle to work.  Thinking that my Kindle was broken, I came upon a post that said to take the Kindle out of the case to see if it would work.  That was the trick but now I am left with a case I can't use and a Kindle without a case.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Amazon-Kindle-Standing-Leather-Origami/product-reviews/B00DR0BOSC/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews"
