web-scraper-order	web-scraper-start-url	author	title	date	content	rating	next	next-href
1549821178-421	https://www.amazon.in/Redmi-Note-Pro-Black-Storage/product-reviews/B07K4WTQ95/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews	Sriniketan	Dont buy redmi mobile	27-Nov-18	"Don't ever buy Redmi mobile,  I purchased it 3 weeks back and there is problem in the display.  Company is not even replacing the product now.  Entire money gine waste.  Don't ever buy any of the Redmi mobiles"	1.0 out of 5 stars		
1549821178-428	https://www.amazon.in/Redmi-Note-Pro-Black-Storage/product-reviews/B07K4WTQ95/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews	Bipin kumar	Touch not  Work this phone	5-Jan-19	"This phone to be bad not touch work this
Phone touch not work"	1.0 out of 5 stars		
1549821211-450	https://www.amazon.in/Redmi-Note-Pro-Black-Storage/product-reviews/B07K4WTQ95/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews	Jaya Chandra	Worst Customer Satisfaction	30-Jan-19	"Amazon is not satisfying the customer and is  only interested to make more and more money.. I bought this phone from Amazon and 3 days earlier it had been delivered and when unpacked and unboxed i checked all the details and found that the back side at fingerprints side something was wrong and then I closely inspected then I found scratches on my new phone and while using I found the Fingerprint was not working correctly..  And was not responding or even vibrating on touch and after some use found that there was update and it was stated that after update the Fingerprint will be working properly. After updating and wasting 2 GB of my Internet i found that the option of fingerprints is missing from the settings option.
Full disgusting customer satisfaction from amazon"	1.0 out of 5 stars	Next page?	https://www.amazon.in/Redmi-Note-Pro-Black-Storage/product-reviews/B07K4WTQ95/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews
1549821199-438	https://www.amazon.in/Redmi-Note-Pro-Black-Storage/product-reviews/B07K4WTQ95/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews	Amazon Customer	"Defect product received. The volume key has stuck inside the phone, and unable to use it."	25-Jan-19	"The volume key has stuck inside the phone, and unable to use it. Its Kind of Bend. I have checked on internet and saw so many similar cases. It has to rectify while manufacturing itself. I have raised case replacement but the process is like painful. Technician will take 5 to 7 working days to visit you to see the issue, once he sends the report to seller then they will proceed for replacement. The whole process takes 20 days approx or even more it seems. Mean while I booked this via No cost EMI offer, Now that also getting affected like once you raise replacement case, the Initial contact with back will be terminated and  for that bank will charge some money it seems. And again new contract will be made for new order or replacement. Even though issue was from seller, customer also need to suffer. Its very Bad!!"	1.0 out of 5 stars	Next page?	https://www.amazon.in/Redmi-Note-Pro-Black-Storage/product-reviews/B07K4WTQ95/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews
1549821282-472	https://www.amazon.in/Redmi-Note-Pro-Black-Storage/product-reviews/B07K4WTQ95/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews	kuldeep kumar	Best beast in 10000	30-Jan-19	"an amazing purchase... value for money @ 9990/- .. first unit was having some signal reception issue..but after replacement..my problem has been sorted out...this phone is beast over all phones in 10000 rs...go for it if u get this phone under 10000...five star for camera, processor, battery, build and durability 9f this phone.."	5.0 out of 5 stars	Next page?	https://www.amazon.in/Redmi-Note-Pro-Black-Storage/product-reviews/B07K4WTQ95/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews
1549821199-434	https://www.amazon.in/Redmi-Note-Pro-Black-Storage/product-reviews/B07K4WTQ95/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews	Amazon Customer	The screen is defective!	30-Nov-18	The screen shows vertical lines.	1.0 out of 5 stars	Next page?	https://www.amazon.in/Redmi-Note-Pro-Black-Storage/product-reviews/B07K4WTQ95/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews
1549821282-475	https://www.amazon.in/Redmi-Note-Pro-Black-Storage/product-reviews/B07K4WTQ95/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews	Santhosh DS K	"Awesome Phone, Terrific Performance MI"	22-Jan-19	"Everything is perfect, but it misses the Ear phones, which would have made it 101% successful phone in INDIA if the ear phone was included BY MI. Other than this, phone is simply awesome and great"	4.0 out of 5 stars	Next page?	https://www.amazon.in/Redmi-Note-Pro-Black-Storage/product-reviews/B07K4WTQ95/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews
1549821342-486	https://www.amazon.in/Redmi-Note-Pro-Black-Storage/product-reviews/B07K4WTQ95/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews	Chinna	Good looking. I love this ?? phone	23-Jan-19	I'm not satisfied with this protective case and amazon Says this mobile comes with lithium ion battery in specs  but this Mobile comes with  lithium polymer battery.amazon says  False Information .pls friends do install CPU Z app. that's app showing full Information in this mobile .check it	5.0 out of 5 stars	Next page?	https://www.amazon.in/Redmi-Note-Pro-Black-Storage/product-reviews/B07K4WTQ95/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews
1549821178-427	https://www.amazon.in/Redmi-Note-Pro-Black-Storage/product-reviews/B07K4WTQ95/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews	Amazon Customer	Defective product - need a replacement	17-Jan-19	I got this mobile 15 days back. Now I am facing issues with this mobile. I need a replacement for this defective product. Whom should I contact for replacement ?	1.0 out of 5 stars		
1549821227-460	https://www.amazon.in/Redmi-Note-Pro-Black-Storage/product-reviews/B07K4WTQ95/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews	Abhay Super Buyer	Worth your money.	3-Feb-19	"Great battery life,sound quality and updates this is my 3rd redmi note 5 pro I purchased this for my friend and sister. After using this since last 10 months I decide to order 2 more for my friend.
Note : Phone doesn't have gorilla glass 5 it's glass 3 same as POCO F1."	5.0 out of 5 stars	Next page?	https://www.amazon.in/Redmi-Note-Pro-Black-Storage/product-reviews/B07K4WTQ95/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews
