web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1549952553-180","https://www.amazon.in/Red-Tape-Green-Running-Shoes/product-reviews/B0756LWDJZ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","mahesh prabhudesai","First impression is stunning","20 October 2018","Just received the delivery, Very light weight - just 399 grames!! good looking shoes. Now I will use it for running and again write a review!","5.0 out of 5 stars","Next page→","https://www.amazon.in/Red-Tape-Green-Running-Shoes/product-reviews/B0756LWDJZ/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1549952536-142","https://www.amazon.in/Red-Tape-Green-Running-Shoes/product-reviews/B0756LWDJZ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Raviraj","Good quality shoes - please go for next size","9 November 2018","Good quality shoes for the price.
I ordered 11 and it didn't fit alright, so had to return the product.
But overall its a good quality shoes.","4.0 out of 5 stars","",""
"1549952549-173","https://www.amazon.in/Red-Tape-Green-Running-Shoes/product-reviews/B0756LWDJZ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Kundan Kumar","Nice","31 January 2019","Liked it.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Red-Tape-Green-Running-Shoes/product-reviews/B0756LWDJZ/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1549952540-151","https://www.amazon.in/Red-Tape-Green-Running-Shoes/product-reviews/B0756LWDJZ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Sudarsan Reddy","good one,it fits very well and very light weight","21 August 2018","good one,it fits very well and very light weight","5.0 out of 5 stars","Next page→","https://www.amazon.in/Red-Tape-Green-Running-Shoes/product-reviews/B0756LWDJZ/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1549952536-139","https://www.amazon.in/Red-Tape-Green-Running-Shoes/product-reviews/B0756LWDJZ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Chandra","Decent Running shoes at affordable price.","29 August 2018","Red Tape Men's Green Running Shoes - 10 UK/India (44 EU)(RSC0257)","5.0 out of 5 stars","",""
"1549952544-165","https://www.amazon.in/Red-Tape-Green-Running-Shoes/product-reviews/B0756LWDJZ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Very very comfortable","3 November 2018","Absolute comfort for a flat feet","5.0 out of 5 stars","Next page→","https://www.amazon.in/Red-Tape-Green-Running-Shoes/product-reviews/B0756LWDJZ/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1549952549-169","https://www.amazon.in/Red-Tape-Green-Running-Shoes/product-reviews/B0756LWDJZ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Praveen Kumar Yadav","Good but not worth its pricing","13 November 2018","Product is okey.","3.0 out of 5 stars","Next page→","https://www.amazon.in/Red-Tape-Green-Running-Shoes/product-reviews/B0756LWDJZ/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1549952549-175","https://www.amazon.in/Red-Tape-Green-Running-Shoes/product-reviews/B0756LWDJZ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Five Stars","27 June 2018","Good product for running","5.0 out of 5 stars","Next page→","https://www.amazon.in/Red-Tape-Green-Running-Shoes/product-reviews/B0756LWDJZ/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1549952549-176","https://www.amazon.in/Red-Tape-Green-Running-Shoes/product-reviews/B0756LWDJZ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","chandan kushwaha","Accha h","15 October 2018","Good for running","4.0 out of 5 stars","Next page→","https://www.amazon.in/Red-Tape-Green-Running-Shoes/product-reviews/B0756LWDJZ/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1549952553-181","https://www.amazon.in/Red-Tape-Green-Running-Shoes/product-reviews/B0756LWDJZ/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","rakeshbudana","Weldon product","24 October 2018","Nice and very good product very very nice product .this product is very very comfortable product and very cheap in this time","5.0 out of 5 stars","Next page→","https://www.amazon.in/Red-Tape-Green-Running-Shoes/product-reviews/B0756LWDJZ/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
