web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1549822406-887","https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/product-reviews/8192910911/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Anit Lyngwa","A user's manual","31 October 2018","The secret to this book is re-reading it over and over again until it is embedded in your system and actually realise that the things you are doing in the moment are actually borrowed from the book more like a user manual. A one time read won't get you results the fire will extinguish. Keep the flame raring on.","4.0 out of 5 stars","Next page→","https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/product-reviews/8192910911/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1549822399-879","https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/product-reviews/8192910911/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Jayesh Thakur","A good read","6 February 2019","First of all ,book was delivered in 2 days as promised.As far as book is concern it is very good book to read  if you haven't read any motivational and self improving book. Author has stated adequate examples to prove his saying.All the qualities necessary for becoming successful are mentioned.However if your goal is to become rich,other books giving financial educational should be considered for buying.This book covers all the aspects of success in the life,not just becoming rich financially.","4.0 out of 5 stars","Next page→","https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/product-reviews/8192910911/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1549822399-877","https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/product-reviews/8192910911/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","AzimD","Average","11 June 2018","The author of the book is saying you to develop desire,faith and other things to become rich however I found the book borring and stop in middlel. You can read RICH DAD POOR DAD which I strongly recommend as a better alternative.","3.0 out of 5 stars","Next page→","https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/product-reviews/8192910911/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1549822421-897","https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/product-reviews/8192910911/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Shashant Choudhary","Provides direction in life.","10 April 2018","One of the best books for those just starting out. It explains, in detail every aspect of human life; his mind, thoughts, actions and provides direction in life. How much better it would have been, if this book was made a part of schooling education.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/product-reviews/8192910911/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1549822458-936","https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/product-reviews/8192910911/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","bharath yadav","Great book","2 January 2019","Worth reading if one needs a pump to get the belief that it's not impossible to achieve heights if one is strongly deterred. Short stories each of which gives a trait or quality that is very important","5.0 out of 5 stars","Next page→","https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/product-reviews/8192910911/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews"
"1549822382-858","https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/product-reviews/8192910911/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Sachin Gowda","Must read","17 February 2018","It’s one of the best books I’ve ever read. People of all ages must read this book. Helps to become a better person and lead a happy life. If at all all suggestions mentioned in the book are followed a person can surely become successful and rich of course.","5.0 out of 5 stars","",""
"1549822467-947","https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/product-reviews/8192910911/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Aman saini","Hard to follow..","5 December 2018","Book has many routines which may prove very hard to follow in life. All the focus of book is on how to earn money..","4.0 out of 5 stars","Next page→","https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/product-reviews/8192910911/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews"
"1549822399-876","https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/product-reviews/8192910911/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","“Motivational guide for becoming rich”","12 January 2019","Very motivational book on acquiring wealth. Apart from some religious promotions, exaggeration of Declaration of Independence. This is much more useful guide, which explains the power of thoughts or an idea. Which had the power to change this world and had changed also by persistence efforts of some individuals in past.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/product-reviews/8192910911/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1549822427-910","https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/product-reviews/8192910911/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","... itself inspires you to think It gives you a perfect step by step formula how to climb the marvel ...","13 January 2018","No review need for this book title itself inspires you to think
It gives you a perfect step by step formula how to climb the marvel mountain in front of you and reach a level where you will meet every successful people.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/product-reviews/8192910911/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1549822395-861","https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/product-reviews/8192910911/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Shalabh Sharma","Decent Read","27 June 2018","Definitely a good read. Will you a perspective on how to focus on becoming rich in a simple to understand language. Not a lengthy book so I finished the complete book in a weeks time.","4.0 out of 5 stars","Next page→","https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/product-reviews/8192910911/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
